嗚呼;ꜛあꜜあ
神棚;かꜛみだな
神頼み;かꜛみだꜜのみ
噛煙草;かꜛみたꜜばこ
過密;かꜛみつ
過密化;かꜛみつ*か
紙っ切れ;かꜛみっきꜜれ
紙っ切れ;かꜛみっきれꜜ
噛みつく;かꜛみつ*く
噛みつく;かꜛみつ*ꜜく
かみつぶす;かꜛみつぶꜜす
かみつぶす;かꜛみつぶす
紙つぶて;かꜛみつꜜぶて
紙礫;かꜛみつꜜぶて
上手;かꜛみて
上手;かꜛみてꜜ
紙テープ;かꜛみてꜜえぷ
紙鉄砲;かꜛみでꜜっぽう
髪床;かꜛみどこ
紙ナプキン;かꜛみなꜜぷ*きん
雷;かꜛみなꜜり
雷;かꜛみなりꜜ
雷おやじ;かꜛみなりおꜜやじ
雷親父;かꜛみなりおꜜやじ
雷雲;かꜛみなりぐ~ꜜも
雷よけ;かꜛみなりよけ
紙人形;かꜛみにꜜんぎ~ょう
紙粘土;かꜛみねꜜんど
上の句;かꜛみのꜜく
上の句;ꜛかꜜみのく
髪の毛;かꜛみのꜜけ
紙のぼり;かꜛみのꜜぼり
紙幟;かꜛみのꜜぼり
紙箱;かꜛみばこ
紙箱;かꜛみꜜばこ
紙挟み;かꜛみばꜜさみ
紙挾み;かꜛみばꜜさみ
紙パルプ;かꜛみぱꜜるぷ
上半期;かꜛみはꜜんき
紙飛行機;かꜛみひ*こꜜうき
紙一重;かꜛみひ*とꜜえ
紙びな;かꜛみびꜜな
紙雛;かꜛみびꜜな
紙ひも;かꜛみひも
紙紐;かꜛみひも
紙ひも;かꜛみꜜひも
紙紐;かꜛみꜜひも
紙風船;かꜛみふꜜうせん
紙袋;かꜛみぶꜜくろ
紙吹雪;かꜛみふꜜぶき
神仏;ꜛかꜜみほとけ
神仏;かꜛみほꜜとけ
神参り;かꜛみまꜜいり
紙巻きたばこ;かꜛみまき*たꜜばこ
神もうで;かꜛみもꜜうで
神詣;かꜛみもꜜうで
紙屋;かꜛみꜜや
上役人;かꜛみやꜜくにん
上屋敷;かꜛみやꜜし*き
紙やすり;かꜛみやꜜすり
紙鑢;かꜛみやꜜすり
髪結い床;かꜛみゆいどこ
髪結い床;かꜛみゆꜜいどこ
髪結い床;かꜛみいどこ
髪結い床;かꜛみいꜜどこ
神代;ꜛかꜜみよ
神代;かꜛみꜜよ
かみ分ける;かꜛみわけꜜる
噛み分ける;かꜛみわけꜜる
かみ分ける;かꜛみわける
噛み分ける;かꜛみわける
神業;かꜛみわざ
かみ割る;かꜛみわる
噛み割る;かꜛみわる
かみ割る;かꜛみわꜜる
噛み割る;かꜛみわꜜる
仮眠;かꜛみん
噛む;ꜛかꜜむ
かむ;かꜛむ
ガム;ꜛがꜜむ
我武者羅;がꜛむしゃら
ガムテープ;がꜛむてꜜえぷ
カムバック;かꜛむばꜜっく
カムバック;ꜛかꜜむばっく
カムフラージュ;かꜛむふらꜜあじゅ
ガムラン;ꜛがꜜむらん
ガムラン;がꜛむらん
冠付け;かꜛむりずけ
冠付け;かꜛむりづけ
冠る;かꜛむꜜる
禿;かꜛむろ
亀;ꜛかꜜめ
甕;かꜛめꜜ
家名;ꜛかꜜめい
家名;かꜛめい
仮名;かꜛめい
加盟;かꜛめい
下命;かꜛめい
下命;ꜛかꜜめい
加盟国;かꜛめꜜいこく
カメオ;ꜛかꜜめお
がめつい;がꜛめつꜜい
かめの子;かꜛめのꜜこ
亀の子;かꜛめのꜜこ
かめの子;かꜛめのこꜜ
亀の子;かꜛめのこꜜ
かめの甲;かꜛめのこꜜう
亀の甲;かꜛめのこꜜう
かめ節;かꜛめぶし
亀節;かꜛめぶし
カメラ;ꜛかꜜめら
カメラアイ;かꜛめらあꜜい
カメラアングル;かꜛめらあꜜんぐる
カメラマン;かꜛめらꜜまん
カメラリポート;かꜛめらりぽꜜうと
カメラワーク;かꜛめらわꜜあく
カメレオン;かꜛめれꜜおん
仮面;かꜛめん
画面;ꜛがꜜめん
画面;がꜛめん
鴨;ꜛかꜜも
鴨居;かꜛもい
科目;かꜛもく
課目;かꜛもく
寡黙;かꜛもく
髢;かꜛもじ
羚羊;かꜛもし*か
醸し出す;かꜛもしだꜜす
醸し出す;かꜛもしだす
醸す;かꜛもꜜす
貨物;ꜛかꜜもつ
貨物船;かꜛもつ*せん
かも南蛮;かꜛもなꜜんばん
鴨南蛮;かꜛもなꜜんばん
鴨嘴;かꜛものꜜはし
鴨嘴;ꜛかꜜものはし
賀茂真淵;かꜛものまꜜぶち
かも場;かꜛもば
鴨場;かꜛもば
賀茂祭;かꜛもまꜜつり
鴎;かꜛもめ
家門;ꜛかꜜもん
家紋;かꜛもん
茅;ꜛかꜜや
萱;ꜛかꜜや
榧;ꜛかꜜや
蚊帳;かꜛや
がやがや;ꜛがꜜやがや
火薬;かꜛやく
火薬庫;かꜛやく*ꜜこ
火薬庫;かꜛやく*こ
火薬庫;かꜛやꜜっこ
火薬庫;かꜛやっこ
カヤック;かꜛやꜜっく
カヤック;ꜛかꜜやっく
蚊帳釣草;かꜛやつりꜜぐ~さ
茅葺き;かꜛやぶき
かやぶき屋根;かꜛやぶきやꜜね
茅葺き屋根;かꜛやぶきやꜜね
蚊やり;かꜛやり
蚊遣り;かꜛやり
蚊やり粉;かꜛやりこ
蚊遣り粉;かꜛやりこ
蚊やり香;かꜛやりこう
蚊遣り香;かꜛやりこう
蚊やり線香;かꜛやりせꜜんこう
蚊遣り線香;かꜛやりせꜜんこう
蚊やり火;かꜛやりꜜび
蚊遣り火;かꜛやりꜜび
粥;かꜛゆ
痒い;かꜛゆꜜい
痒い;かꜛいꜜい
痒がる;かꜛゆが~ꜜる
かゆ腹;かꜛゆばら
粥腹;かꜛゆばら
痒み;かꜛゆみꜜ
痒み;かꜛゆみ
通い;かꜛよい
通い合う;かꜛよいあꜜう
通い口;かꜛよいꜜぐ~ち
通い路;かꜛよいじ
通い路;かꜛよいꜜじ
通い帳;かꜛよいちょう
通い詰める;かꜛよいつめꜜる
通い箱;かꜛよいꜜばこ
通い箱;かꜛよꜜいばこ
通う;かꜛよう
火曜;かꜛよꜜう
火曜;かꜛよう
歌謡;かꜛよう
斯様;かꜛよう
歌謡曲;かꜛよꜜうきょく
歌謡史;かꜛよꜜうし
画用紙;がꜛよꜜうし
可溶性;かꜛようせい
火曜日;かꜛよꜜうび
寡欲;かꜛよく
寡欲;ꜛかꜜよく
我欲;がꜛよく
我欲;ꜛがꜜよく
蚊よけ;かꜛよけ
蚊よけ;かꜛよけꜜ
か弱い;かꜛよわꜜい
通わす;かꜛよわす
通わせる;かꜛよわせる
から;ꜛかꜜら
殻;かꜛらꜜ
空;かꜛらꜜ
鶏骨;ꜛがꜜら
瓦落;ꜛがꜜら
柄;がꜛら
カラー;ꜛかꜜらあ
がら空き;がꜛらあき
から揚げ;かꜛらあげ~
カラーコピー;かꜛらあこꜜぴい
カラーテレビ;かꜛらあてꜜれび
カラーフィルム;かꜛらあふぃꜜるむ
柄編み;がꜛらあみ
辛い;かꜛらꜜい
から威張り;かꜛらいꜜばり
乾煎り;かꜛらいり
から歌;かꜛらꜜうた
漢詩;かꜛらꜜうた
から歌;かꜛらうた
漢詩;かꜛらうた
空売り;かꜛらうり
唐絵;かꜛらえ
空送り;かꜛらおꜜくり
空オケ;かꜛらおけ
がら落ち;がꜛらおち
瓦落落ち;がꜛらおち
唐織;かꜛらおり
揶揄い;かꜛらかꜜい
揶揄い;かꜛらかい
空買い;かꜛらが~い
からかう;かꜛらかꜜう
唐傘;かꜛらかさ
唐傘松;かꜛらかさꜜまつ
唐金;かꜛらかね
唐金;かꜛらꜜかね
唐紙;かꜛらꜜかみ
カラカラ;ꜛかꜜらから
からから;かꜛらから
辛々;かꜛらが~ら
ガラガラ;ꜛがꜜらがら
がらがら;ꜛがꜜらがら
がらがら;がꜛらがꜜら
がらがら;がꜛらがらꜜ
がらがら;がꜛらがら
カラカラ天気;かꜛらからてꜜんき
がらがら蛇;がꜛらがらへꜜび
がらがら蛇;がꜛらがらꜜへび
唐木;かꜛらき
唐木細工;かꜛらきざꜜいく
唐木造り;かꜛらきずꜜくり
唐木造り;かꜛらきづꜜくり
唐ぎぬ;かꜛらぎ~ꜜぬ
唐衣;かꜛらぎ~ꜜぬ
唐ぎぬ;かꜛらꜜぎ~ぬ
唐衣;かꜛらꜜぎ~ぬ
唐ぎぬ;かꜛらぎ~ぬ
唐衣;かꜛらぎ~ぬ
唐草;かꜛらꜜく*さ
唐草模様;かꜛらく*さもꜜよう
空くじ;かꜛらくじ
空籤;かꜛらくじ
空くじ;かꜛらくꜜじ
空籤;かꜛらくꜜじ
がらくた;がꜛらく*た
辛口;かꜛらく*ち
辛くも;ꜛかꜜらくも
絡繰り;かꜛらくり
絡繰り;かꜛらꜜくり
からくり仕掛け;かꜛらくりじꜜかけ
絡繰り仕掛け;かꜛらくりじꜜかけ
からくり人形;かꜛらくりにꜜんぎ~ょう
絡繰り人形;かꜛらくりにꜜんぎ~ょう
から車;かꜛらぐ~ꜜるま
空車;かꜛらぐ~ꜜるま
から紅;かꜛらくれꜜない
韓紅;かꜛらくれꜜない
から紅;かꜛらくれない
韓紅;かꜛらくれない
から景気;かꜛらげ~ꜜいき
空景気;かꜛらげ~ꜜいき
からげる;かꜛらげ~ꜜる
からげる;かꜛらげ~る
から元気;かꜛらげꜜんき
空元気;かꜛらげꜜんき
唐子;かꜛらこ
唐子人形;かꜛらこにꜜんぎ~ょう
唐子まげ;かꜛらこꜜまげ~
唐子髷;かꜛらこꜜまげ~
唐子まげ;かꜛらこまげ~
唐子髷;かꜛらこまげ~
辛さ;ꜛかꜜらさ
から騒ぎ;かꜛらさꜜわぎ~
空騒ぎ;かꜛらさꜜわぎ~
芥子;かꜛらし
唐じし;かꜛらじꜜし
唐獅子;かꜛらじꜜし
唐じし;かꜛらじし
唐獅子;かꜛらじし
唐しし;かꜛらしꜜし
唐獅子;かꜛらしꜜし
唐しし;かꜛらしし
唐獅子;かꜛらしし
芥子醤油;かꜛらしじょꜜうゆ
からし漬け;かꜛらしずけ
芥子漬け;かꜛらしずけ
からし漬け;かꜛらしづけ
芥子漬け;かꜛらしづけ
芥子菜;かꜛらしな
烏;ꜛかꜜらす
枯らす;かꜛらす
嗄す;かꜛらす
ガラス;がꜛらす
烏瓜;かꜛらすꜜうり
ガラス絵;がꜛらすꜜえ
ガラス絵;がꜛらすえ
からす貝;かꜛらすꜜが~い
烏貝;かꜛらすꜜが~い
からす金;かꜛらすꜜが~ね
烏金;かꜛらすꜜが~ね
唐すき;かꜛらす*き
唐鋤;かꜛらす*き
唐すき;かꜛらꜜす*き
唐鋤;かꜛらꜜす*き
ガラス器;がꜛらす*ꜜき
ガラス切り;がꜛらす*ꜜきり
からす口;かꜛらすꜜぐ~ち
烏口;かꜛらすꜜぐ~ち
辛漬け;かꜛらずけ
鹹漬け;かꜛらずけ
辛漬け;かꜛらづけ
鹹漬け;かꜛらづけ
ガラス質;がꜛらすꜜし*つ
ガラス障子;がꜛらす*しょꜜうじ
ガラス繊維;がꜛらす*せꜜんい
烏天狗;かꜛらす*てꜜんぐ~
ガラス戸;がꜛらすꜜど
ガラス戸;がꜛらすど
ガラス戸棚;がꜛらす*とꜜだな
からす鳴き;かꜛらすなき
烏鳴き;かꜛらすなき
ガラス張り;がꜛらすばり
ガラス瓶;がꜛらすꜜびん
からす蛇;かꜛらすへꜜび
烏蛇;かꜛらすへꜜび
ガラス窓;がꜛらすまꜜど
ガラス瓶;がꜛらすまꜜど
唐墨;かꜛらすみ
からす麦;かꜛらすむꜜぎ~
烏麦;かꜛらすむꜜぎ~
からす麦;かꜛらすꜜむぎ~
烏麦;かꜛらすꜜむぎ~
ガラス屋根;がꜛらすやꜜね
空せき;かꜛらせき
空咳;かꜛらせき
空世辞;かꜛらせじ
空相場;かꜛらそꜜうば
体;かꜛらだ
お体;おꜛかꜜらだ
空だき;かꜛらだき
空焚;かꜛらだき
唐竹;かꜛらꜜたけ
唐竹;かꜛらたけ
から竹割り;かꜛらたけわり
唐竹割り;かꜛらたけわり
枳殻;かꜛらたち
唐たちばな;かꜛらたちꜜばな
唐橘;かꜛらたちꜜばな
体つき;かꜛらだつ*き
体つき;かꜛらだꜜつ*き
体負け;かꜛらだまけ
空茶;かꜛらꜜちゃ
空茶;かꜛらちゃ
空っ茶;かꜛらꜜっちゃ
空っ茶;かꜛらっちゃ
からっ風;かꜛらꜜっかぜ
空っ風;かꜛらꜜっかぜ
からっ風;かꜛらっかぜ
空っ風;かꜛらっかぜ
からっ風;かꜛらっかꜜぜ
空っ風;かꜛらっかꜜぜ
カラット;かꜛらꜜっと
カラット;ꜛかꜜらっと
からっと;かꜛらꜜっと
がらっと;がꜛらꜜっと
空っぽ;かꜛらっぽ
唐津焼;かꜛらつやき
空梅雨;かꜛらつゆ
空手;かꜛらて
空手形;かꜛらてꜜが~た
空手術;かꜛらてꜜじゅつ
空鉄砲;かꜛらでꜜっぽう
辛党;かꜛらとう
唐にしき;かꜛらにꜜし*き
唐錦;かꜛらにꜜし*き
から念仏;かꜛらねꜜんぶつ
空念仏;かꜛらねꜜんぶつ
空箱;かꜛらばこ
唐破風;かꜛらはふ
空吹かし;かꜛらふ*ꜜかし
乾拭き;かꜛらぶき
空船;かꜛらぶね
空船;かꜛらぶꜜね
空振り;かꜛらぶり
カラフル;ꜛかꜜらふる
空堀;かꜛらぼり
絡ます;かꜛらまꜜす
絡ませる;かꜛらませꜜる
落葉松;かꜛらꜜまつ
落葉松;かꜛらまつ
絡まり;かꜛらまりꜜ
絡まる;かꜛらまꜜる
空回り;かꜛらまꜜわり
絡み;かꜛらみꜜ
辛み;かꜛらみꜜ
辛み;かꜛらみ
空身;かꜛらみ
絡み合う;かꜛらみあꜜう
絡み合う;かꜛらみあう
辛みそ;かꜛらみそ
辛味噌;かꜛらみそ
絡みつく;かꜛらみつ*ꜜく
絡みつく;かꜛらみつ*く
絡みつく;かꜛらꜜみつ*く
からみ投げ;かꜛらみなげ~
絡み投げ;かꜛらみなげ~
からみもち;かꜛらみꜜもち
絡む;かꜛらꜜむ
苧麻;かꜛらꜜむし
苧麻;かꜛらむし
辛め;かꜛらめ
辛め;かꜛらめꜜ
からめ手;かꜛらめて
からめ取る;かꜛらめとꜜる
搦め取る;かꜛらめとꜜる
絡める;かꜛらめꜜる
搦める;かꜛらめꜜる
絡める;かꜛらめる
搦める;かꜛらめる
柄物;がꜛらもの
唐門;かꜛらもん
唐門;かꜛらꜜもん
空約束;かꜛらやꜜく*そく
柄行き;がꜛらゆき
唐様;かꜛらよう
からり;かꜛらꜜり
からり;かꜛらりꜜ
がらり;がꜛらꜜり
がらり;がꜛらりꜜ
カラン;かꜛらん
伽藍;がꜛらん
伽藍;ꜛがꜜらん
がらんと;がꜛらꜜんと
がらんと;がꜛらんꜜと
伽藍洞;がꜛらんどう
狩り;ꜛかꜜり
雁;ꜛかꜜり
猟;ꜛかꜜり
カリ;ꜛかꜜり
借り;かꜛり
仮;かꜛり
我利;ꜛがꜜり
刈り上げ;かꜛりあげ~
借り上げ;かꜛりあげ~
刈り上げる;かꜛりあげ~ꜜる
借り上げる;かꜛりあげ~ꜜる
かり集める;かꜛりあつめꜜる
借り入れ;かꜛりいれ
刈り入れ;かꜛりいれ
借入金;かꜛりいれきん
借入金;かꜛりいれꜜきん
借り入れる;かꜛりいれꜜる
刈り入れる;かꜛりいれꜜる
借り受ける;かꜛりうけꜜる
カリエス;ꜛかꜜりえす
カリ塩;かꜛりꜜえん
仮親;かꜛりおや
借り換える;かꜛりかꜜえる
借り換える;かꜛりかえꜜる
借り貸し;かꜛりꜜかし
借方;かꜛりかた
カリカチュア;かꜛりかꜜちゅあ
雁;かꜛりが~ね
刈り株;かꜛりかぶ
借り株;かꜛりかぶ
カリカリ;ꜛかꜜりかり
かりかり;かꜛりかり
ガリガリ;ꜛがꜜりがり
我利我利;がꜛりがり
がりがり亡者;がꜛりがりもꜜうじゃ
借り着;かꜛりぎ~
仮議長;かꜛりぎꜜちょう
狩りぎぬ;かꜛりぎ~ぬ
狩衣;かꜛりぎ~ぬ
狩りぎぬ;かꜛりぎ~ꜜぬ
狩衣;かꜛりぎ~ꜜぬ
カリキュラム;ꜛかꜜりきゅらむ
カリキュラム;かꜛりきゅꜜらむ
借り切る;かꜛりきꜜる
仮契約;かꜛりけꜜいやく
借り越し;かꜛりこし
借越金;かꜛりこし*きん
仮ごしらえ;かꜛりご~ꜜしらえ
刈り込み;かꜛりこみ
狩り込み;かꜛりこみ
刈り込みばさみ;かꜛりこみばꜜさみ
刈り込む;かꜛりこꜜむ
仮小屋;かꜛりご~や
仮差し押え;かꜛりさしおさえ
仮差し押え;かꜛりさしおꜜさえ
仮執行;かꜛりし*ꜜっこう
仮釈放;かꜛりしゃꜜく*ほう
仮出所;かꜛりしゅꜜっしょ
狩り装束;かꜛりしょꜜうぞく
仮処分;かꜛりしょꜜぶん
カリスマ;かꜛりすま
仮住まい;かꜛりずꜜまい
仮政府;かꜛりせꜜいふ
カリ石鹸;かꜛりせꜜっけん
かりそめ;かꜛりそめ
かりそめにも;かꜛりそめにꜜも
借り倒す;かꜛりたおꜜす
駆り出される;かꜛりだされꜜる
借り出す;かꜛりだꜜす
かり出す;かꜛりだꜜす
かり出す;かꜛりだす
かり立てる;かꜛりたてꜜる
借り地;かꜛりち
仮調印;かꜛりちょꜜういん
借り賃;かꜛりꜜちん
借りっ放し;かꜛりっぱなし
借り手;かꜛりて
刈り手;かꜛりて
仮登記;かꜛりとꜜうき
仮投票;かꜛりとꜜうひょう
仮とじ;かꜛりとじ
仮綴;かꜛりとじ
刈り取る;かꜛりとꜜる
仮に;かꜛりに
カリニ肺炎;かꜛりにはꜜいえん
仮にも;かꜛりにꜜも
仮縫い;かꜛりぬい
借り主;かꜛりꜜぬし
借り主;かꜛりぬし
仮寝;かꜛりね
刈り残す;かꜛりのこꜜす
狩り場;かꜛりば
仮橋;かꜛりばし
仮払い;かꜛりばꜜらい
ガリ版;がꜛりばん
カリ肥料;かꜛりひꜜりょう
仮普請;かꜛりぶꜜしん
カリプソ;かꜛりぷ*そ
カリフラワー;かꜛりふらꜜわあ
刈り穂;かꜛりほ
仮埋葬;かꜛりまꜜいそう
仮免;かꜛりめん
仮免許;かꜛりめꜜんきょ
借り物;かꜛりもの
仮屋;かꜛりや
仮約定;かꜛりやꜜくじょう
仮約束;かꜛりやꜜく*そく
下流;かꜛりゅう
河流;かꜛりゅう
花柳;かꜛりゅう
顆粒;かꜛりゅう
我流;がꜛりゅう
花柳界;かꜛりゅꜜうかい
狩人;ꜛかꜜりゅうど
狩人;かꜛりゅꜜうど
花柳病;かꜛりゅうびょう
カリウム;かꜛりゅꜜうむ
カリウム;ꜛかりꜜうむ
科料;かꜛりょう
過料;かꜛりょう
下僚;かꜛりょう
佳良;かꜛりょう
加療;かꜛりょう
画料;ꜛがꜜりょう
雅量;がꜛりょう
画竜点せい;ꜛがꜜりょうてんせい
画竜点晴;ꜛがꜜりょうてんせい
火力;かꜛりょく
火力;ꜛかꜜりょく
火力発電;かꜛりょくはꜜつでん
借りる;かꜛりる
仮渡し;かꜛりわたし
仮渡し;かꜛりわꜜたし
花梨;かꜛりん
過りん酸石灰;かꜛりんさんせꜜっかい
花林糖;かꜛりんとう
刈る;かꜛる
狩る;かꜛる
駆る;かꜛる
狩る;ꜛかꜜる
駆る;ꜛかꜜる
軽い;かꜛるい
軽石;かꜛるいし
刈萱;かꜛるꜜかや
軽々しい;かꜛるが~るしꜜい
軽々と;かꜛるが~ꜜると
軽羹;かꜛるかん
カルキ;ꜛかꜜるき
軽口;かꜛるく*ち
軽口話;かꜛるく*ちばꜜなし
軽さ;かꜛるさ
カルサン;かꜛるさん
カルシウム;かꜛるしゅꜜうむ
カルシウム;ꜛかるしꜜうむ
カルスト台地;かꜛるす*とだꜜいち
カルスト地形;かꜛるす*とち*ꜜけい
歌留多;ꜛかꜜるた
カルタ遊び;かꜛるたあꜜそび
カルタ会;かꜛるたꜜかい
カルタ取り;かꜛるたꜜとり
カルチャー;ꜛかꜜるちゃあ
カルチャーショック;かꜛるちゃあしょꜜっく
カルチャーセンター;かꜛるちゃあせꜜんたあ
カルテ;ꜛかꜜるて
カルテット;ꜛかꜜるてっと
クァルテット;ꜛくぁꜜるてっと
カルデラ;かꜛるでら
カルデラ湖;かꜛるでらꜜこ
カルテル;ꜛかꜜるてる
カルト;ꜛかꜜると
軽はずみ;かꜛるはꜜずみ
軽はずみ;かꜛるはずみ
カルビ;ꜛかꜜるび
軽み;かꜛるみ
軽め;かꜛるめ
カルメ焼き;かꜛるめやき
カルメラ;かꜛるめら
軽物;かꜛるもの
軽やか;かꜛるꜜやか
軽焼き;かꜛるやき
軽業;かꜛるわざ
軽業師;かꜛるわざꜜし
彼;ꜛかꜜれ
鰈;ꜛかꜜれい
華麗;かꜛれい
家令;かꜛれい
佳麗;かꜛれい
枯れ色;かꜛれいろ
カレー;かꜛれえ
カレー粉;かꜛれえこ
ガレージ;がꜛれꜜえじ
ガレージ;ꜛがꜜれえじ
枯れ枝;かꜛれえだ
カレーライス;かꜛれえらꜜいす
枯れ尾花;かꜛれおꜜばな
枯れ木;かꜛれき
瓦礫;がꜛれき
枯れ草;かꜛれく*さ
かれ声;かꜛれご~え
嗄れ声;かꜛれご~え
かれ声;かꜛれご~ꜜえ
嗄れ声;かꜛれご~ꜜえ
彼此;ꜛかꜜれこれ
枯れ山水;かꜛれさꜜんすい
彼氏;ꜛかꜜれし
枯れすすき;かꜛれすꜜす*き
苛烈;かꜛれつ
カレッジ;ꜛかꜜれっじ
枯れ野;かꜛれの
枯れ葉;かꜛれは
枯れ果てる;かꜛれはてꜜる
彼ら;ꜛかꜜれら
枯れる;かꜛれる
嗄れる;かꜛれる
可憐;かꜛれん
カレンダー;かꜛれꜜんだあ
苛斂誅求;ꜛかれꜜんちゅꜛうきゅう
カレントトピックス;かꜛれんととꜜぴっく*す
カレントトピックス;かꜛれんととぴꜜっく*す
過労;かꜛろう
家老;かꜛろう
画廊;がꜛろう
過労死;かꜛろꜜうし
かろうじて;かꜛろꜜうじて
かろうじて;かꜛろうじて
軽々しい;かꜛろが~ろしꜜい
カロチン;ꜛかꜜろちん
夏炉冬扇;ꜛかꜜろとうせん
軽やか;かꜛろꜜやか
カロリー;ꜛかꜜろりい
カロリー計算;かꜛろりいけꜜいさん
歌論;かꜛろん
歌論;ꜛかꜜろん
ガロン;ꜛがꜜろん
軽んじる;かꜛろんじꜜる
軽んずる;かꜛろんずꜜる
佳話;ꜛかꜜわ
川;かꜛわꜜ
河;かꜛわꜜ
皮;かꜛわꜜ
革;かꜛわꜜ
側;かꜛわꜜ
側;がꜛわ
川遊び;かꜛわあꜜそび
可愛い;かꜛわいꜜい
かわいがる;かꜛわいが~ꜜる
かわいげ;かꜛわいげ~
かわいげ;かꜛわいꜜげ~
かわいさ;かꜛわいꜜさ
かわいさ;かꜛわꜜいさ
かわいそう;かꜛわいそꜜう
かわいらしい;かꜛわいらしꜜい
かわいらしさ;かꜛわいらꜜし*さ
かわいらしさ;かꜛわいらし*ꜜさ
川魚;かꜛわうお
川魚;かꜛわꜜうお
川魚料理;かꜛわうおりょꜜうり
獺;かꜛわうそ
川音;かꜛわおと
革おどし;かꜛわおꜜどし
革縅;かꜛわおꜜどし
革帯;かꜛわおび
革帯;かꜛわおꜜび
乾かす;かꜛわかꜜす
川風;かꜛわꜜかぜ
川風;かꜛわかぜ
川上;かꜛわかみ
川狩り;かꜛわが~り
乾き;かꜛわきꜜ
渇き;かꜛわきꜜ
乾き切る;かꜛわき*きꜜる
乾き切る;かꜛわき*きる
川岸;かꜛわぎ~し
皮切り;かꜛわきり
皮切り;かꜛわきりꜜ
川霧;かꜛわぎ~り
川霧;かꜛわꜜぎ~り
乾く;かꜛわꜜく
渇く;かꜛわꜜく
革具;かꜛわꜜぐ~
川下り;かꜛわくꜜだり
川口;かꜛわぐ~ち
革靴;かꜛわぐ~つ
川越し;かꜛわご~し
革細工;かꜛわざꜜいく
川魚;かꜛわざꜜかな
川ざらえ;かꜛわざꜜらえ
皮算用;かꜛわざꜜんよう
川下;かꜛわしも
川蒸気;かꜛわじょꜜうき
川じり;かꜛわじり
川尻;かꜛわじり
交わす;かꜛわす
躱す;かꜛわす
蛙;かꜛわず
河津掛け;かꜛわずが~け
河津掛け;かꜛわづが~け
川筋;かꜛわすじ
川涼み;かꜛわすꜜずみ
川伝い;かꜛわずꜜたい
川面;かꜛわずら
川面;かꜛわづら
為替;かꜛわせ
川瀬;かꜛわせ
革製;かꜛわせい
革製品;かꜛわせꜜいひん
川施餓鬼;かꜛわせꜜが~き
為替銀;かꜛわせぎん
為替銀;かꜛわせꜜぎん
為替券;かꜛわせꜜけん
為替市場;かꜛわせしꜜじょう
為替相場;かꜛわせそꜜうば
翡翠;かꜛわせみ
為替レート;かꜛわせれꜜえと
川沿い;かꜛわぞい
革草履;かꜛわぞꜜうり
川底;かꜛわぞこ
河竹黙阿弥;ꜛかꜜわたけもꜛくあみ
河竹黙阿弥;ꜛかわたꜜけもꜛくあみ
かわたれ時;かꜛわたれどき
かわたれ時;かꜛわたれꜜどき
かわたれ星;かꜛわたれꜜぼし
川千鳥;かꜛわちꜜどり
皮つき;かꜛわつ*き
革と;かꜛわと
革砥;かꜛわと
川床;かꜛわどこ
革とじ;かꜛわとじ
革綴;かꜛわとじ
川止め;かꜛわどめ
川止め;かꜛわどめꜜ
川波;かꜛわなみ
川波;かꜛわꜜなみ
川の字;かꜛわのꜜじ
革ばかま;かꜛわばꜜかま
革袴;かꜛわばꜜかま
皮剥;かꜛわはぎ~
川端;かꜛわばた
川幅;かꜛわはば
川幅;かꜛわꜜはば
革張り;かꜛわばり
革ひも;かꜛわひも
革紐;かꜛわひも
川開き;かꜛわびꜜらき
革袋;かꜛわぶꜜくろ
川普請;かꜛわぶꜜしん
川船;かꜛわぶね
川船;かꜛわぶꜜね
川辺;かꜛわべ
川辺;かꜛわべꜜ
川べり;かꜛわべり
川水;かꜛわꜜみず
川も;かꜛわも
川面;かꜛわも
皮屋;かꜛわꜜや
厠;かꜛわや
川柳;かꜛわやꜜなぎ~
河原;かꜛわら
瓦;かꜛわら
土器;かꜛわらけ
かわら師;かꜛわらꜜし
瓦師;かꜛわらꜜし
瓦煎餅;かꜛわらせꜜんべい
河原撫子;かꜛわらなでꜜし*こ
かわら版;かꜛわらばん
瓦葺き;かꜛわらぶき
河原者;かꜛわらもの
かわら焼き;かꜛわらやき
かわら屋根;かꜛわらやꜜね
変わり;かꜛわり
替わり;かꜛわり
代わり;かꜛわり
お代わり;おꜛかꜜわり
代わり合う;かꜛわりあꜜう
変わり種;かꜛわりだね
変わり種;かꜛわりだꜜね
代わりに;かꜛわりに
代わり映え;かꜛわりばえ
変わり果てる;かꜛわりはてꜜる
代わりばんこ;かꜛわりばꜜんこ
変わりびな;かꜛわりびꜜな
変わり雛;かꜛわりびꜜな
変わり身;かꜛわりみ
変わり目;かꜛわりめ
変わり者;かꜛわりもの
変わり模様;かꜛわりもꜜよう
変わりやすい;かꜛわりやすꜜい
川漁;かꜛわꜜりょう
代わる;かꜛわる
替わる;かꜛわる
換わる;かꜛわる
変わる;かꜛわる
代るがわる;かꜛわるが~ꜜわる
官;ꜛかꜜん
巻;ꜛかꜜん
感;ꜛかꜜん
缶;ꜛかꜜん
観;ꜛかꜜん
間;ꜛかꜜん
棺;ꜛかꜜん
款;ꜛかꜜん
管;ꜛかꜜん
環;ꜛかꜜん
漢;ꜛかꜜん
冠;ꜛかꜜん
緘;ꜛかꜜん
鐶;ꜛかꜜん
歓;ꜛかꜜん
閑;ꜛかꜜん
艦;ꜛかꜜん
